mu_e_ev,temperature_k,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s
0.5425845135690094,510.0,-120539906.27491917,120539906.27491917,251905.2155121001,3.7415299771699525e-07
0.5425845135690094,515.0,-127599646.95311914,127599646.95311914,257219.8280569176,3.621157134567278e-07
0.5425845135690094,520.0,-134902313.304687,134902313.304687,262544.65153169533,3.507162359171994e-07
0.5425845135690094,525.0,-142449985.1271691,142449985.1271691,267878.6164089536,3.3990961428731147e-07
0.5425845135690094,530.0,-150244662.07875773,150244662.07875773,273220.6860818614,3.2965478227804717e-07
0.5425845135690094,535.0,-158288265.51517743,158288265.51517743,278569.8561767563,3.199141662029908e-07
0.5425845135690094,540.0,-166582640.27628827,166582640.27628827,283925.15386243904,3.106533376816199e-07
0.5425845135690094,545.0,-175129556.42996025,175129556.42996025,289285.63715826813,3.0184070537271305e-07
0.5425845135690094,550.0,-183930710.97930887,183930710.97930887,294650.39424250636,2.9344724090272475e-07
0.5425845135690094,555.0,-192987729.53810453,192987729.53810453,300018.5427624395,2.8544623480208213e-07
0.5425845135690094,560.0,-202302167.9780888,202302167.9780888,305389.2291477028,2.7781307881774956e-07
0.5425845135690094,565.0,-211875514.0510228,211875514.0510228,310761.6279276406,2.7052507144708717e-07
0.5425845135690094,570.0,-221709188.98752722,221709188.98752722,316134.94105416967,2.635612439478345e-07
0.5425845135690094,575.0,-231804549.07416564,231804549.07416564,321508.39723060577,2.5690220443185946e-07
0.5425845135690094,580.0,-242162887.2097057,242162887.2097057,326881.2512476909,2.505299979545742e-07
0.5425845135690094,585.0,-252785434.4411071,252785434.4411071,332252.7833273925,2.444279807746499e-07
0.5425845135690094,590.0,-263673361.4794748,263673361.4794748,337622.2984748115,2.3858070718593276e-07
0.5425845135690094,595.0,-274827780.1959577,274827780.1959577,342989.12583948654,2.3297382752032166e-07
0.5425845135690094,600.0,-286249745.09743786,286249745.09743786,348352.6180855469,2.2759399609110666e-07
0.5425845135690094,605.0,-297940254.7816807,297940254.7816807,353712.1507723589,2.224287879946706e-07
0.5425845135690094,610.0,-309900253.37159044,309900253.37159044,359067.1217446838,2.1746662381748278e-07
0.5425845135690094,615.0,-322130631.92811596,322130631.92811596,364416.95053385466,2.12696701407819e-07
0.5425845135690094,620.0,-334632229.8413709,334632229.8413709,369761.077769388,2.0810893396974155e-07
0.5425845135690094,625.0,-347405836.19951004,347405836.19951004,375098.9646015646,2.0369389382263576e-07
0.5425845135690094,630.0,-360452191.1349283,360452191.1349283,380430.0921352519,1.9944276124461878e-07
0.5425845135690094,635.0,-373771987.14738375,373771987.14738375,385753.960874646,1.953472778838807e-07
0.5425845135690094,640.0,-387365870.4036767,387365870.4036767,391070.0901794932,1.9139970427971041e-07
0.5425845135690094,645.0,-401234442.0135586,401234442.0135586,396378.0177326333,1.875927810856472e-07
0.5425845135690094,650.0,-415378259.28161234,415378259.28161234,401677.29901883914,1.83919693631793e-07
0.5425845135690094,655.0,-429797836.93487114,429797836.93487114,406967.5068150825,1.8037403950262414e-07
0.5425845135690094,660.0,-444493648.32602435,444493648.32602435,412248.23069186864,1.7694979884130154e-07
0.5425845135690094,665.0,-459466126.6120728,459466126.6120728,417519.0765262919,1.7364130712211675e-07
0.5425845135690094,670.0,-474715665.90838826,474715665.90838826,422779.6660258743,1.7044323015978403e-07
0.5425845135690094,675.0,-490242622.4181475,490242622.4181475,428029.6362637646,1.6735054114830115e-07
0.5425845135690094,680.0,-506047315.537173,506047315.537173,433268.63922499464,1.6435849954336672e-07
0.5425845135690094,685.0,-522130028.9342658,522130028.9342658,438496.34136326506,1.6146263162124174e-07
0.5425845135690094,690.0,-538491011.6071138,538491011.6071138,443712.42316914303,1.5865871256374908e-07
0.5425845135690094,695.0,-555130478.9139645,555130478.9139645,448916.57874840795,1.5594274993403832e-07
0.5425845135690094,700.0,-572048613.5812252,572048613.5812252,454108.5154110372,1.533109684210896e-07
0.5425845135690094,705.0,-589245566.6871998,589245566.6871998,459287.9532708323,1.5075979574281473e-07
0.5425845135690094,710.0,-606721458.6222577,606721458.6222577,464454.6248546681,1.4828584960822293e-07
0.5425845135690094,715.0,-624476380.0256311,624476380.0256311,469608.27472245746,1.458859256486503e-07
0.5425845135690094,720.0,-642510392.6992104,642510392.6992104,474748.659096436,1.4355698623652156e-07
0.5425845135690094,725.0,-660823530.4986118,660823530.4986118,479875.54550042463,1.412961501177702e-07
0.5425845135690094,730.0,-679415800.2018504,679415800.2018504,484988.7124086283,1.3910068279086893e-07
0.5425845135690094,735.0,-698287182.3559995,698287182.3559995,490087.9489036497,1.3696798757157399e-07
0.5425845135690094,740.0,-717437632.1021647,717437632.1021647,495173.05434368836,1.3489559728801906e-07
0.5425845135690094,745.0,-736867079.9791765,736867079.9791765,500243.8380386276,1.328811665557705e-07
0.5425845135690094,750.0,-756575432.706337,756575432.706337,505300.11893544125,1.309224645869475e-07
0.5425845135690094,755.0,-776562573.9457054,776562573.9457054,510341.7253111169,1.2901736849153836e-07
0.5425845135690094,760.0,-796828365.0441724,796828365.0441724,515368.4944756451,1.2716385703274169e-07
0.5425845135690094,765.0,-817372645.7559174,817372645.7559174,520380.2724812539,1.253600048014031e-07
0.5425845135690094,770.0,-838195234.9454446,838195234.9454446,525376.913841732,1.2360397677768206e-07
0.5425845135690094,775.0,-859295931.2718142,859295931.2718142,530358.2812575615,1.218940232507166e-07
0.5425845135690094,780.0,-880674513.8542508,880674513.8542508,535324.2453510263,1.2022847506958353e-07
0.5425845135690094,785.0,-902330742.9197657,902330742.9197657,540274.6844068394,1.186057392010056e-07
0.5425845135690094,790.0,-924264360.4330398,924264360.4330398,545209.4841210542,1.1702429457134302e-07
0.5425845135690094,795.0,-946475090.7090113,946475090.7090113,550128.5373572594,1.1548268817221315e-07
0.5425845135690094,800.0,-968962641.0086242,968962641.0086242,555031.7439091546,1.1397953141075874e-07
0.5425845135690094,805.0,-991726702.1180336,991726702.1180336,559919.0102706981,1.1251349668712636e-07
0.5425845135690094,810.0,-1014766948.911775,1014766948.911775,564790.2494122339,1.1108331418308209e-07
0.5425845135690094,815.0,-1038083040.9002141,1038083040.9002141,569645.3805633818,1.0968776884698079e-07
0.5425845135690094,820.0,-1061674622.7616714,1061674622.7616714,574484.3290023188,1.0832569756145256e-07
0.5425845135690094,825.0,-1085541324.859615,1085541324.859615,579307.0258511658,1.069959864812267e-07
0.5425845135690094,830.0,-1109682763.7453074,1109682763.7453074,584113.4078772931,1.0569756852948354e-07
0.5425845135690094,835.0,-1134098542.6462388,1134098542.6462388,588903.4173006143,1.0442942104201067e-07
0.5425845135690094,840.0,-1158788251.9407406,1158788251.9407406,593677.0016064163,1.0319056354924776e-07
0.5425845135690094,845.0,-1183751469.619145,1183751469.619145,598434.1133636595,1.0198005568704669e-07
0.5425845135690094,850.0,-1208987761.731743,1208987761.731743,603174.7100493136,1.0079699522766724e-07
0.5425845135690094,855.0,-1234496682.824088,1234496682.824088,607898.7538766827,9.964051622312614e-08
0.5425845135690094,860.0,-1260277776.3597076,1260277776.3597076,612606.211630321,9.850978725363475e-08
0.5425845135690094,865.0,-1286330575.1307826,1286330575.1307826,617297.0545050013,9.740400977434476e-08
0.5425845135690094,870.0,-1312654601.6570585,1312654601.6570585,621971.2579492754,9.632241655413453e-08
0.5425845135690094,875.0,-1339249368.573166,1339249368.573166,626628.8015148425,9.526427020061984e-08
0.5425845135690094,880.0,-1366114379.0048618,1366114379.0048618,631269.668709538,9.422886176595869e-08
0.5425845135690094,885.0,-1393249126.9343905,1393249126.9343905,635893.846854828,9.321550942842613e-08
0.5425845135690094,890.0,-1420653097.555172,1420653097.555172,640501.3269486445,9.222355724508043e-08
0.5425845135690094,895.0,-1448325767.6163852,1448325767.6163852,645092.1035305397,9.12523739711434e-08
0.5425845135690094,900.0,-1476266605.757331,1476266605.757331,649666.1745530466,9.030135194206055e-08
0.5425845135690094,905.0,-1504475072.8322253,1504475072.8322253,654223.5412554559,8.936990601443326e-08
0.5425845135690094,910.0,-1532950622.2254274,1532950622.2254274,658764.208042201,8.845747256231006e-08
0.5425845135690094,915.0,-1561692700.1575217,1561692700.1575217,663288.1823647096,8.756350852553808e-08
0.5425845135690094,920.0,-1590700745.9824145,1590700745.9824145,667795.4746069548,8.668749050710461e-08
0.5425845135690094,925.0,-1619974192.4757109,1619974192.4757109,672286.0979748719,8.582891391660088e-08
0.5425845135690094,930.0,-1649512466.1147013,1649512466.1147013,676760.0683884415,8.498729215711893e-08
0.5425845135690094,935.0,-1679314987.350021,1679314987.350021,681217.4043780963,8.416215585308602e-08
0.5425845135690094,940.0,-1709381170.8694088,1709381170.8694088,685658.126983473,8.335305211667934e-08
0.5425845135690094,945.0,-1739710425.85363,1739710425.85363,690082.2596558408,8.255954385063555e-08
0.5425845135690094,950.0,-1770302156.2248363,1770302156.2248363,694489.8281637144,8.178120908539656e-08
0.5457504682563282,280.0,441209.0650963578,0.0,47865.83777968749,
0.5457504682563282,285.0,366542.36324005807,0.0,51071.2528422039,
0.5457504682563282,290.0,259164.74907006786,0.0,54373.47615075375,
0.5457504682563282,295.0,113719.15651291054,0.0,57770.28673505418,
0.5457504682563282,300.0,-75469.98865124393,75469.98865124393,61259.40283647895,4.897364920306282e-06
0.5457504682563282,305.0,-314363.5047632509,314363.5047632509,64838.49304083263,4.3642334286004974e-06
0.5457504682563282,310.0,-609170.2518384017,609170.2518384017,68505.18651776091,3.905531662034345e-06
0.5457504682563282,315.0,-966306.9231316713,966306.9231316713,72257.08241087633,3.509168759150291e-06
0.5457504682563282,320.0,-1392355.8586522297,1392355.8586522297,76091.7584243521,3.165256727315376e-06
