delta_mu_ev,temperature_k,mu_e_ev,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s,delta_mu_carrier_statistics_model
1.0611789929294846,720.0,0.626527839958882,-1176916395.6874738,1176916395.6874738,960493.4958968019,7.837070675849135e-08,fd
1.0611789929294846,725.0,0.6272412813157551,-1209490692.1927633,1209490692.1927633,972273.728056692,7.71983795592155e-08,fd
1.0611789929294846,730.0,0.6279555866698056,-1242542778.8430457,1242542778.8430457,984052.4844151705,7.60586200428766e-08,fd
1.0611789929294846,735.0,0.6286707529216976,-1276072352.1360793,1276072352.1360793,995829.1421096,7.495018913230388e-08,fd
1.0611789929294846,740.0,0.6293867757800977,-1310079051.0205867,1310079051.0205867,1007603.0876545929,7.387190755605318e-08,fd
1.0611789929294846,745.0,0.6301036510018256,-1344562470.1444142,1344562470.1444142,1019373.7260427956,7.282265170011526e-08,fd
1.0611789929294846,750.0,0.6308213756801577,-1379522174.8335197,1379522174.8335197,1031140.4905362556,7.180134976147509e-08,fd
1.0611789929294846,755.0,0.631539945044132,-1414957669.0815985,1414957669.0815985,1042902.816782009,7.080698062017496e-08,fd
1.0611789929294846,760.0,0.6322593556592427,-1450868430.1674702,1450868430.1674702,1054660.1677613994,6.983856929057543e-08,fd
1.0611789929294846,765.0,0.6329796021866192,-1487253875.0527055,1487253875.0527055,1066412.00736628,6.889518609885242e-08,fd
1.0611789929294846,770.0,0.6337006812840492,-1524113403.8700678,1524113403.8700678,1078157.8312998065,6.79759422044689e-08,fd
1.0611789929294846,775.0,0.6344225883450939,-1561446365.4929898,1561446365.4929898,1089897.140394097,6.707998906216632e-08,fd
1.0611789929294846,780.0,0.6351453187954164,-1599252072.6181087,1599252072.6181087,1101629.4505853143,6.620651561344523e-08,fd
1.0611789929294846,785.0,0.6358688687650231,-1637529810.792191,1637529810.792191,1113354.2980418599,6.535474599018019e-08,fd
1.0611789929294846,790.0,0.6365932324033122,-1676278808.0211637,1676278808.0211637,1125071.2166989772,6.452393892302214e-08,fd
1.0611789929294846,795.0,0.6373184065807479,-1715498291.0455232,1715498291.0455232,1136779.7765441798,6.371338377960589e-08,fd
1.0611789929294846,800.0,0.6380443854948812,-1755187422.4412558,1755187422.4412558,1148479.5387644984,6.292240142924416e-08,fd
1.0611789929294846,805.0,0.6387711654081396,-1795345358.2977102,1795345358.2977102,1160170.094555963,6.215034052909478e-08,fd
1.0611789929294846,810.0,0.6394987405541892,-1835971199.2902648,1835971199.2902648,1171851.0307395766,6.139657789366087e-08,fd
1.0611789929294846,815.0,0.6402271065593311,-1877064033.6298597,1877064033.6298597,1183521.9579173503,6.06605156226923e-08,fd
1.0611789929294846,820.0,0.6409562590819683,-1918622921.529866,1918622921.529866,1195182.4988500034,5.994158042516197e-08,fd
1.0611789929294846,825.0,0.6416861924039202,-1960646877.6419883,1960646877.6419883,1206832.2761751069,5.9239222964102274e-08,fd
1.0611789929294846,830.0,0.6424169022237175,-2003134907.872481,2003134907.872481,1218470.9356706382,5.8552915571580636e-08,fd
1.0611789929294846,835.0,0.6431483828472561,-2046085973.6224,2046085973.6224,1230098.122145866,5.788215229565222e-08,fd
1.0611789929294846,840.0,0.6438806307295755,-2089499039.680488,2089499039.680488,1241713.5093106108,5.722644650702046e-08,fd
1.0611789929294846,845.0,0.6446136387718978,-2133372998.1962898,2133372998.1962898,1253316.7507162343,5.658533210351238e-08,fd
1.0611789929294846,850.0,0.6453474041897851,-2177706776.2826276,2177706776.2826276,1264907.5468954996,5.5958359651241946e-08,fd
1.0611789929294846,855.0,0.6460819198924845,-2222499218.6502447,2222499218.6502447,1276485.5710227543,5.5345098711406126e-08,fd
1.0611789929294846,860.0,0.6468171824193043,-2267749198.1468644,2267749198.1468644,1288050.5370083216,5.474513414239719e-08,fd
1.0611789929294846,865.0,0.6475531861483693,-2313455535.801859,2313455535.801859,1299602.1492543565,5.415806741458236e-08,fd
1.0611789929294846,870.0,0.6482899254578052,-2359617031.3298264,2359617031.3298264,1311140.121001459,5.3583515094904476e-08,fd
1.0611789929294846,875.0,0.6490273962146785,-2406232485.8313017,2406232485.8313017,1322664.1871422685,5.302110767538471e-08,fd
1.0611789929294846,880.0,0.6497655920727078,-2453300648.352423,2453300648.352423,1334174.0716081588,5.247049015148012e-08,fd
1.0611789929294846,885.0,0.6505045089270488,-2500820282.0365114,2500820282.0365114,1345669.5261495488,5.1931319940505544e-08,fd
1.0611789929294846,890.0,0.651244141191942,-2548790109.74274,2548790109.74274,1357150.2974616531,5.1403267509742214e-08,fd
1.0611789929294846,895.0,0.6519844840421489,-2597208848.0592895,2597208848.0592895,1368616.1466623414,5.088601510095435e-08,fd
1.0611789929294846,900.0,0.6527255326684827,-2646075196.916608,2646075196.916608,1380066.8425481129,5.0379256446758746e-08,fd
1.0611789929294846,905.0,0.6534672807407129,-2695387815.9590955,2695387815.9590955,1391502.1476725244,4.988269671971913e-08,fd
1.0611789929294846,910.0,0.6542097242302378,-2745145384.7699666,2745145384.7699666,1402921.8521549646,4.9396050923005626e-08,fd
1.0611789929294846,915.0,0.6549528575874125,-2795346543.7992563,2795346543.7992563,1414325.7394726486,4.8919044575865696e-08,fd
1.0611789929294846,920.0,0.6556966760431774,-2845989931.081603,2845989931.081603,1425713.6067841805,4.8451412610249374e-08,fd
1.0611789929294846,925.0,0.6564411740599255,-2897074157.9790125,2897074157.9790125,1437085.2508680236,4.799289940441065e-08,fd
1.0611789929294846,930.0,0.6571863461000504,-2948597821.820323,2948597821.820323,1448440.4747984363,4.7543258172421074e-08,fd
1.0611789929294846,935.0,0.6579321882111929,-3000559532.932223,3000559532.932223,1459779.102130384,4.710225018042081e-08,fd
1.0611789929294846,940.0,0.6586786948798229,-3052957863.25991,3052957863.25991,1471100.9483296247,4.6669645244512236e-08,fd
1.0611789929294846,945.0,0.6594258613930591,-3105791385.8692174,3105791385.8692174,1482405.8419316811,4.624522076283165e-08,fd
1.0611789929294846,950.0,0.6601736814447476,-3159058634.8660774,3159058634.8660774,1493693.6026249968,4.582876201306038e-08,fd
1.0656004389782303,280.0,0.5692010715661011,1078136.3927179864,0.0,78335.10189097653,,fd
1.0656004389782303,285.0,0.5698527051735713,894632.8808996006,0.0,83981.93678655916,,fd
1.0656004389782303,290.0,0.5705045557170546,631152.8855774967,0.0,89827.16472756509,,fd
1.0656004389782303,295.0,0.5711566395846519,276061.76060579653,0.0,95867.77566213049,,fd
1.0656004389782303,300.0,0.5718089736911947,-182461.19835854368,182461.19835854368,102100.58218388564,2.025634639295934e-06,fd
1.0656004389782303,305.0,0.5724615753662734,-756307.7940794218,756307.7940794218,108522.2424145949,1.8139963323809166e-06,fd
1.0656004389782303,310.0,0.573114462133127,-1457341.5618562633,1457341.5618562633,115129.28110543393,1.6324969791512915e-06,fd
1.0656004389782303,315.0,0.5737676516588688,-2297316.272642693,2297316.272642693,121918.10954571384,1.4760240835667937e-06,fd
1.0656004389782303,320.0,0.574421162337909,-3287812.884319498,3287812.884319498,128885.04550612783,1.3404387717027414e-06,fd
1.0656004389782303,325.0,0.5750532188337285,-4437431.485108237,4437431.485108237,135973.41333691886,1.2231346133422327e-06,fd
1.0656004389782303,330.0,0.5757069003927451,-5762005.758325579,5762005.758325579,143281.89589092453,1.1197686608542595e-06,fd
1.0656004389782303,335.0,0.5763609394515036,-7270318.030087821,7270318.030087821,150756.88532507815,1.0289178414420803e-06,fd
1.0656004389782303,340.0,0.5770153535247362,-8972934.601206744,8972934.601206744,158394.47209554416,9.487152239189489e-07,fd
1.0656004389782303,345.0,0.5776701606826737,-10880147.238275781,10880147.238275781,166190.72616367857,8.776135647671525e-07,fd
1.0656004389782303,350.0,0.5783253783023036,-13001977.1993571,13001977.1993571,174141.7048242026,8.143249910046423e-07,fd
1.0656004389782303,355.0,0.578981024196116,-15348182.610770538,15348182.610770538,182243.46592000683,7.577728935263039e-07,fd
